team,recovery,force long ball,xt disruption,lead to shot,danger,beaten,ppda (hb),z_q_raw,score
Tottenham,0.923,1.566,0.55,0.058,0.29,1.49,1.882,0.903,1.688
Liverpool,1.215,1.087,0.89,0.308,0.56,-1.06,0.836,0.836,1.561
Arsenal,0.655,0.841,1.1,-1.159,-0.1,0.64,0.687,0.525,0.981
Chelsea,0.947,-0.13,0.16,-0.063,1.43,1.49,-0.06,0.498,0.931
Brentford FC,0.825,-0.027,1.0,2.091,-1.84,-0.21,0.538,0.484,0.904
Bournemouth,1.093,0.219,0.34,0.104,0.32,-1.06,0.687,0.464,0.866
Manchester City,0.655,-0.532,0.47,-1.595,1.91,-0.21,1.434,0.277,0.517
Newcastle,1.045,0.582,-1.4,0.28,-0.01,-0.21,1.434,0.238,0.444
Brighton,0.825,-0.052,-0.41,-1.28,1.37,-0.21,0.388,0.173,0.323
West Ham,-0.538,1.631,0.42,0.383,-0.55,-1.06,-0.209,0.169,0.314
Wolverhampton,0.46,-0.609,0.08,-0.871,-0.01,1.49,-0.508,-0.007,-0.013
Manchester U,0.533,-1.593,0.74,-1.112,0.32,0.64,0.687,-0.024,-0.045
Southampton,-1.171,-0.441,1.23,1.868,-1.6,-1.91,-0.806,-0.303,-0.566
Leicester,-0.855,0.116,0.03,1.088,-0.7,-1.06,-1.553,-0.319,-0.597
Aston Villa,-1.001,-0.286,0.61,-0.741,-0.28,0.64,-1.105,-0.361,-0.674
Fulham,-0.709,0.906,-2.08,-0.815,0.95,-0.21,-0.209,-0.455,-0.85
Everton,-1.122,0.232,-0.96,0.188,0.29,-0.21,-0.806,-0.485,-0.907
Ipswich Town,-1.609,-1.839,0.66,1.237,-1.36,0.64,-1.553,-0.777,-1.452
Crystal Palace,-0.173,-2.15,-1.72,-0.379,0.44,-1.06,-0.358,-0.891,-1.665
Nottingham,-1.999,0.478,-1.72,0.41,-1.39,1.49,-1.404,-0.942,-1.76
