Team,Chains,Force Long Ball,Recovery (Opp Half),xT Disruption,Press Broken,Shot After Broken,Goal After Broken,PPDA
Everton,23.32,7.42,28.84,0.0606,30.53,1.87,0.34,1.33
Crystal Palace,22.0,9.84,30.55,0.0795,30.37,2.55,0.37,1.22
Leicester,21.24,7.11,27.42,0.0356,28.55,3.05,0.82,1.27
Ipswich Town,19.97,7.97,24.13,0.054,28.08,3.29,0.55,1.38
Fulham,20.26,7.26,25.95,0.0787,26.34,2.55,0.16,1.27
Nottingham,19.34,6.29,26.71,0.0457,26.21,1.26,0.08,1.38
Southampton,18.47,7.45,25.08,-0.0017,25.71,2.63,0.42,1.28
Brighton,20.61,8.45,26.29,0.0433,25.53,2.63,0.37,1.23
Manchester City,19.5,10.18,22.61,0.0468,25.03,3.66,0.53,1.17
West Ham,18.82,8.47,26.13,0.0518,24.53,2.5,0.37,1.33
Wolverhampton,19.18,8.13,27.08,0.0496,24.16,1.58,0.42,1.25
Chelsea,19.97,8.53,26.37,0.0586,23.87,1.89,0.16,1.24
Manchester U,19.21,8.95,28.11,0.0539,23.79,2.21,0.16,1.23
Bournemouth,20.89,8.13,27.95,0.0451,23.66,1.79,0.08,1.19
Liverpool,19.37,8.0,27.87,0.0846,22.53,2.0,0.42,1.17
Newcastle,19.58,9.89,27.66,0.0697,22.21,2.37,0.21,1.23
Aston Villa,16.24,6.21,21.55,0.0419,22.03,1.42,0.18,1.39
Tottenham,18.79,9.24,25.92,0.0446,21.55,2.24,0.39,1.13
Brentford FC,17.21,7.76,26.92,0.0596,21.11,3.08,0.21,1.3
Arsenal,15.61,7.76,20.5,0.0668,19.29,1.34,0.24,1.34
